Location,Date,High,Average High
KDFW,20161101,88,73
KDFW,20161102,85,73
KDFW,20161103,75,72
KDFW,20161104,76,72
KDFW,20161105,71,71
KDFW,20161106,70,71
KDFW,20161107,68,71
KDFW,20161108,65,70
KDFW,20161109,68,70
KDFW,20161110,72,69
KDFW,20161111,78,69
KDFW,20161112,70,68
KDFW,20161113,73,68
KDFW,20161114,81,68
KDFW,20161115,85,67
KDFW,20161116,87,67
KDFW,20161117,80,66
KDFW,20161118,72,66
KDFW,20161119,59,65
KDFW,20161120,66,65
KDFW,20161121,73,65
KDFW,20161122,76,64
KDFW,20161123,68,64
KDFW,20161124,73,63
KDFW,20161125,64,63
KDFW,20161126,67,62
KDFW,20161127,69,62
KDFW,20161128,73,62
KDFW,20161129,74,61
KDFW,20161130,62,61
KDFW,20161201,67,61
KDFW,20161202,65,60
KDFW,20161203,57,60
KDFW,20161204,53,60
KDFW,20161205,53,59
KDFW,20161206,53,59
KDFW,20161207,51,59
KDFW,20161208,40,58
KDFW,20161209,38,58
KDFW,20161210,49,58
KDFW,20161211,73,58
KDFW,20161212,54,57
KDFW,20161213,57,57
KDFW,20161214,42,57
KDFW,20161215,83,37
KDFW,20161216,83,37
KDFW,20161217,81,37
KDFW,20161218,81,36
KDFW,20161219,78,36
KDFW,20161220,79,36
KDFW,20161221,85,36
KDFW,20161222,81,36
KDFW,20161223,81,36
KDFW,20161224,88,36
KDFW,20161225,78,36
KDFW,20161226,83,36
KDFW,20161227,82,36
KDFW,20161228,81,36
KDFW,20161229,81,36
KDFW,20161230,90,35
KDFW,20161231,85,35
